unique_id,year,team,games,o_pts_pg,o_ty_pg,o_py,o_ry,o_fd_g,o_3rdm,o_3rdpct,o_4thm,o_4thpct,o_pen,o_penyds,o_top,d_pts_pg,d_ty_pg,d_py,d_ry,d_int,d_inttd,stp_n,stp_avg,str_pr,str_pr_yds,str_pr_avg,str_kr,str_kr_yds,str_kr_avg
2011_Air Force,2011,Air Force,12,34.4,458.9,138.5833333,320.3333333,23.4,78,47.9,21,80.8,4.833333333,45.58333333,0.958333333,27.3,390.4,162.6666667,227.75,0.916666667,0,2.75,41,1.083333333,11.66666667,10.8,3.166666667,70.08333333,22.1
2011_Florida Intl.,2011,Florida Intl.,12,26.3,369.7,219.25,150.4166667,19.2,66,38.2,7,46.7,8.083333333,69.16666667,0.852777778,19.4,347.6,226.6666667,120.9166667,1.083333333,0.166666667,5,41,1.25,19.91666667,15.9,3.166666667,81,25.6
2011_Houston,2011,Houston,13,50.8,599,443.7692308,155.2307692,28.3,97,52.2,14,56,6.076923077,49.53846154,0.494871795,23.1,386,214.2307692,171.7692308,1.384615385,0.153846154,3.461538462,40.9,1.692307692,23.92307692,14.1,2.923076923,64,21.9
2011_Washington St.,2011,Washington St.,12,29.8,424.3,322.3333333,102,23.3,75,41.7,7,36.8,6.5,63.16666667,1.177777778,31.8,409.6,252.4166667,157.1666667,0.666666667,0.166666667,4.583333333,40.8,1,3.833333333,3.8,4.833333333,112.5833333,23.3
2011_Stanford,2011,Stanford,12,43.6,480.9,273,207.9166667,24.8,84,52.2,11,91.7,6.25,56.83333333,1.113888889,20.3,331.1,241.0833333,90,0.5,0.083333333,2.916666667,40.8,1.416666667,15.75,11.1,3.5,78.66666667,22.5
2011_Iowa,2011,Iowa,12,28.7,379.2,236.3333333,142.8333333,20.4,60,40.3,9,52.9,4.666666667,35.58333333,0.469444444,23.3,387.6,228.0833333,159.5,0.75,0.166666667,3.916666667,40.8,1.083333333,7.75,7.2,3.416666667,76.41666667,22.4
2011_UAB,2011,UAB,12,20.2,364,234.5833333,129.4166667,20.2,67,40.6,2,15.4,5,43.58333333,1.297222223,36.8,485.6,282.25,203.3333333,0.75,0.166666667,4.75,40.7,1.166666667,11.91666667,10.2,6,121.5,20.3
2011_Troy,2011,Troy,12,22.4,380,291.3333333,88.66666667,19.8,73,38.8,7,35,6.666666667,53,0.904166667,33.7,465,261.4166667,203.5833333,0.666666667,0.083333333,5.75,40.6,2.416666667,19.25,8,4.833333333,95.16666667,19.7
2011_Kansas St.,2011,Kansas St.,12,33.1,343.4,149.75,193.6666667,19.7,78,43.6,7,77.8,4.666666667,35.58333333,1.4625,27.8,398.8,267.3333333,131.4166667,1.5,0.25,4.916666667,40.5,1.5,13,8.7,4,101.9166667,25.5
2011_Auburn,2011,Auburn,12,24.3,328.2,153.4166667,174.75,17.1,57,35.6,5,45.5,5.75,50.91666667,0.773611111,29.3,405.8,211,194.75,0.833333333,0.166666667,5.833333333,40.5,1.666666667,11.5,6.9,4.333333333,105.3333333,24.3
